Project,Status,Priority,Assignee,Start,Deadline,Progress,Budget,Tags,Active,Notes
Project Alpha,In Progress,High,Alice,2026-08-01,2026-09-15,65,12000,Frontend|API,true,Core dashboard redesign
Project Beta,Planning,Medium,Bob,2026-09-01,2026-11-30,10,8000,Backend|Database,true,New API endpoints
Project Gamma,Done,Low,Charlie,2026-06-15,2026-08-30,100,5000,Design,false,Landing page refresh
Project Delta,In Progress,Critical,Alice,2026-08-20,2026-09-30,40,15000,Frontend|Backend|API,true,Mobile app launch
Project Epsilon,Review,High,Diana,2026-07-10,2026-09-10,90,7500,Design|Frontend,false,Brand guidelines update
Project Zeta,On Hold,Medium,Bob,2026-07-01,2026-10-15,25,6000,Backend,false,Legacy migration
Project Eta,Planning,Low,Charlie,2026-10-01,2027-01-31,0,4500,Frontend,true,Documentation site
Project Theta,In Progress,High,Diana,2026-08-15,2026-09-20,55,9000,API|Database,true,Payment integration
Project Iota,Done,Medium,Alice,2026-05-01,2026-07-31,100,3500,Design,false,Icon library
Project Kappa,Review,Critical,Bob,2026-08-10,2026-09-05,85,11000,Backend|API,true,Security audit
Project Lambda,Planning,High,Charlie,2026-09-15,2026-12-31,5,7000,Frontend|Backend,true,Real-time sync
Project Mu,In Progress,Medium,Diana,2026-08-25,2026-10-15,30,5500,Design|Frontend,false,Dark mode support
