Habit,Category,Frequency,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Date,Streak,Active,Notes
Morning Meditation,Mindfulness,Daily,true,true,true,true,true,true,true,2026-01-01,45,true,10 min guided session
Exercise 30 min,Health,Daily,true,false,true,false,true,false,true,2026-01-01,12,true,Mix of cardio and strength
Read 20 pages,Learning,Daily,true,true,true,true,true,false,false,2026-02-01,8,true,Currently reading: Deep Work
Drink 8 glasses water,Health,Daily,true,true,true,true,true,true,true,2026-01-01,30,true,Track with app
Journal,Mindfulness,Daily,true,true,true,true,true,false,false,2026-03-01,5,true,Evening reflection
Code practice,Productivity,Weekdays,true,true,true,true,true,false,false,2026-01-15,20,true,LeetCode or side project
Learn Spanish,Learning,Weekdays,true,true,true,true,true,false,false,2026-02-15,15,true,Duolingo + flashcards
Call family,Social,Weekly,false,false,false,false,false,true,false,2026-01-01,35,true,Sunday evening
Meal prep,Health,Weekly,false,false,false,false,false,true,false,2026-03-01,10,true,Sunday afternoon
Review goals,Productivity,Weekly,false,false,false,false,false,false,true,2026-01-01,25,true,Weekly planning session
Gratitude log,Mindfulness,Daily,true,true,true,true,true,true,true,2026-04-01,2,true,3 things I am grateful for
No social media,Productivity,Daily,true,true,true,true,true,false,false,2026-05-01,1,true,Focus hours only
